tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,ltp,open,high,low,qty,Invested,value,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
ABMKNO,BSE,135977220.0,INE850B01026,CNC,0.0,207.0,0.0,0.0,207.0,0.0,2023-10-02 00:00:00,{},207.0,0.0,0.0,,False,112.06,90.82,92.39,-4397.0099580000015,-1.5700000000000074,-1.6993181080203565,holdings,BSE:ABMKNO,90.82,92.51,95.65,90.0,207.0,23196.75,18799.74,19799.550000000003,-4397.01,-3397.1999579999974,-18.96,-14.65,19124.73,-324.99,-22.99
ADANIGREEN,BSE,138611204.0,INE364U01010,CNC,0.0,13.0,0.0,0.0,13.0,0.0,2023-10-02 00:00:00,{},13.0,0.0,0.0,,False,1080.12,988.2,1011.75,-1194.950002999998,-23.549999999999955,-2.327650111193472,holdings,BSE:ADANIGREEN,988.2,1008.0,1012.45,983.75,13.0,14041.55,12846.6,13161.85,-1194.95,-879.7000029999981,-8.51,-6.26,13152.75,-306.15,-9.09
AGIIL,BSE,137994756.0,INE976R01017,CNC,0.0,17.0,0.0,0.0,17.0,0.0,2023-10-02 00:00:00,{},17.0,0.0,0.0,,False,609.95,581.0,582.85,-492.1500000000008,-1.8500000000000227,-0.317405850561898,holdings,BSE:AGIIL,581.0,580.0,600.0,560.1,17.0,10369.15,9877.0,10200.0,-492.15,-169.15000000000146,-4.75,-1.63,9908.45,-31.45,-4.97
AGSTRA,NSE,2029313.0,INE583L01014,CNC,0.0,77.0,0.0,0.0,77.0,0.0,2023-10-02 00:00:00,{},77.0,0.0,0.0,,False,65.5,60.65,61.1,-373.4500000000001,-0.45000000000000284,-0.7364975450081879,holdings,NSE:AGSTRA,60.65,61.0,61.3,60.5,77.0,5043.5,4670.05,4720.099999999999,-373.45,-323.40000000000055,-7.4,-6.41,4704.7,-34.65,-7.94
AJANTSOY,BSE,132919300.0,INE601B01023,CNC,0.0,278.0,0.0,0.0,278.0,0.0,2023-10-02 00:00:00,{},278.0,0.0,0.0,,False,36.3,35.59,34.98,-197.37999999999826,0.6100000000000065,1.7438536306461023,holdings,BSE:AJANTSOY,35.59,34.98,35.99,34.51,278.0,10091.4,9894.02,10005.220000000001,-197.38,-86.17999999999847,-1.96,-0.85,9724.44,169.58,-2.03
ALBERTDA,BSE,134163204.0,INE155C01010,CNC,0.0,6.0,0.0,0.0,6.0,0.0,2023-10-02 00:00:00,{},6.0,0.0,0.0,,False,813.42,772.5,770.0,-245.50000199999977,2.5,0.3246753246753247,holdings,BSE:ALBERTDA,772.5,775.05,779.0,767.3,6.0,4880.5,4635.0,4674.0,-245.5,-206.50000199999977,-5.03,-4.23,4620.0,15.0,-5.31
ALEMBICLTD,BSE,129596164.0,INE426A01027,CNC,0.0,117.0,0.0,0.0,117.0,0.0,2023-10-02 00:00:00,{},117.0,0.0,0.0,,False,85.3,78.88,76.89,-751.1400000000002,1.9899999999999949,2.5881128885420663,holdings,BSE:ALEMBICLTD,78.88,78.99,79.43,77.01,117.0,9980.1,9228.96,9293.310000000001,-751.14,-686.789999999999,-7.53,-6.88,8996.13,232.83,-8.35
ALICON,NSE,3495937.0,INE062D01024,CNC,0.0,7.0,0.0,0.0,7.0,0.0,2023-10-02 00:00:00,{},7.0,0.0,0.0,,False,886.52,862.4,861.0,-168.85000300000024,1.3999999999999773,0.16260162601625752,holdings,NSE:ALICON,862.4,861.3,867.85,856.05,7.0,6205.65,6036.8,6074.95,-168.85,-130.70000299999992,-2.72,-2.11,6027.0,9.8,-2.8
ALPHAGEO,BSE,134757636.0,INE137C01018,CNC,0.0,32.0,0.0,0.0,32.0,0.0,2023-10-02 00:00:00,{},32.0,0.0,0.0,,False,311.38,297.25,294.55,-452.2000000000007,2.6999999999999886,0.9166525207944284,holdings,BSE:ALPHAGEO,297.25,296.6,299.0,296.0,32.0,9964.2,9512.0,9568.0,-452.2,-396.2000000000007,-4.54,-3.98,9425.6,86.4,-4.8
AMJLAND,NSE,665089.0,INE606A01024,CNC,0.0,314.0,0.0,0.0,314.0,0.0,2023-10-02 00:00:00,{},314.0,0.0,0.0,,False,31.97,31.75,32.15,-68.65013399999953,-0.3999999999999986,-1.2441679626749569,holdings,NSE:AMJLAND,31.75,32.7,32.7,31.5,314.0,10038.15,9969.5,10267.800000000001,-68.65,229.64986600000157,-0.68,2.29,10095.1,-125.6,-0.68
ANUP,NSE,2307585.0,INE294Z01018,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-10-02 00:00:00,{},2.0,0.0,0.0,,False,2253.3,1982.7,1949.5,-541.2000000000003,33.200000000000045,1.703000769428061,holdings,NSE:ANUP,1982.7,1963.4,1997.0,1927.5,2.0,4506.6,3965.4,3994.0,-541.2,-512.6000000000004,-12.01,-11.37,3899.0,66.4,-13.88
