tradingsymbol,source,key,ltp_21:02,ltp_04:07,ltp_05:18,ltp_05:20,ltp_05:21,ltp_05:22,ltp_05:23,ltp_05:24,ltp_05:25,ltp_05:26,ltp_05:27,ltp_05:28,ltp_05:29,ltp_05:50,ltp_05:52,ltp_05:53,ltp_05:54,ltp_05:55,ltp_05:56,ltp_05:57,ltp_05:58,ltp_05:59,ltp_06:09,ltp_06:10,ltp_06:12,ltp_06:20,ltp_06:21,ltp_06:22,ltp_06:23,ltp_06:24,ltp_06:25,ltp_06:26,ltp_06:27,ltp_06:28,ltp_06:29,ltp_06:30,ltp_06:31,ltp_06:32,ltp_06:33,ltp_06:34,ltp_06:35,ltp_06:36,ltp_06:37,ltp_06:38,ltp_06:39,ltp_06:40,ltp_06:41,ltp_06:42,ltp_06:43,ltp_06:45,ltp_06:46,ltp_06:47,ltp_06:48,ltp_06:49,ltp_06:50,ltp_06:51,ltp_06:52,ltp_06:53,ltp_06:54,ltp_06:55,ltp_06:56,ltp_07:12,ltp_07:13,ltp_07:14,ltp_07:15,ltp_07:16,ltp_07:17,ltp_07:19,ltp_07:20,ltp_07:21,ltp_07:22,ltp_07:23,ltp_07:29,ltp_07:30,ltp_07:31,ltp_07:32,ltp_07:33,ltp_07:34,ltp_07:35,ltp_07:36,ltp_07:37,ltp_07:38,ltp_07:39,ltp_07:40,ltp_07:41,ltp_07:42,ltp_07:43,ltp_07:44,ltp_07:45,ltp_07:46,ltp_07:47,ltp_07:48,ltp_07:49,ltp_07:50,ltp_07:51,ltp_07:52,ltp_07:53,ltp_07:54,ltp_07:55,ltp_07:56,ltp_07:57,ltp_07:58,ltp_07:59,ltp_08:00,ltp_08:02,ltp_08:03,ltp_08:04,ltp_08:05,ltp_08:06,ltp_08:07,ltp_08:08,ltp_08:09,ltp_08:10,ltp_08:11,ltp_08:12,ltp_08:13,ltp_08:14,ltp_08:15,ltp_08:16,ltp_08:17,ltp_08:18,ltp_08:19,ltp_08:20,ltp_08:21,ltp_08:22,ltp_08:23
ABMKNO,holdings,BSE:ABMKNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15,92.15
ADANIGREEN,holdings,NSE:ADANIGREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45,1012.45
AGIIL,holdings,BSE:AGIIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0,585.0
AGSTRA,holdings,BSE:AGSTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25
AJANTSOY,holdings,BSE:AJANTSOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98,34.98
ALBERTDAVD,holdings,NSE:ALBERTDAVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5,771.5
ALEMBICLTD,holdings,NSE:ALEMBICLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95
ALICON,holdings,NSE:ALICON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0,861.0
ALPHAGEO,holdings,BSE:ALPHAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15,292.15
AMJLAND,holdings,NSE:AMJLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15
